iter	Logloss
296	0.3826755943
297	0.3822563266
298	0.3819451636
299	0.3817233882
300	0.3814829799
301	0.3811962801
302	0.3807161617
303	0.3804980391
304	0.380236002
305	0.3799610407
306	0.3796608117
307	0.3792490096
308	0.3788609949
309	0.3785750435
310	0.3782020768
311	0.3777848007
312	0.3773315291
313	0.3768621437
314	0.3762112988
315	0.3758735986
316	0.3758390128
317	0.3755296777
318	0.3753859882
319	0.3751327208
320	0.3749212342
321	0.3745774362
322	0.3740556039
323	0.3737441106
324	0.3733921353
325	0.3731515803
326	0.3727264096
327	0.3724993755
328	0.3722314555
329	0.3719385147
330	0.3716273337
331	0.3712369946
332	0.3710181356
333	0.3708182262
334	0.3705056304
335	0.3701925248
336	0.3698552082
337	0.369524988
338	0.3689959682
339	0.3688078994
340	0.3683065292
341	0.3680087558
342	0.3676477724
343	0.3670780655
344	0.3663429607
345	0.3658915666
346	0.3656340694
347	0.3654052468
348	0.3646918365
349	0.3643986722
350	0.3638871864
351	0.3637047214
352	0.363494058
353	0.3628883284
354	0.3625119468
355	0.3618939344
356	0.3615530067
357	0.3615391574
358	0.361145596
359	0.3609219636
360	0.3606247889
361	0.3600385308
362	0.3595564305
363	0.3593465213
364	0.3588422333
365	0.3585647326
366	0.3583668853
367	0.3581464698
368	0.3578058725
369	0.3576201791
370	0.357472715
371	0.3572675937
372	0.3569817036
373	0.3568151102
374	0.3566476596
375	0.3565167544
376	0.3560924457
377	0.3557157664
378	0.3555110673
379	0.3552188144
380	0.3549922972
381	0.3548610411
382	0.35463934
383	0.3542139246
384	0.3540287235
385	0.3537479082
386	0.3534518439
387	0.3533444098
388	0.3530595408
389	0.3528714551
390	0.3527559303
391	0.3525116624
392	0.3521297132
393	0.3517846473
394	0.3514387913
395	0.3510057696
396	0.3505507817
397	0.3501422294
398	0.3498253926
399	0.3496090567
400	0.3490948116
401	0.3483813879
402	0.348055935
403	0.3477232886
404	0.3475422936
405	0.3473609999
406	0.3471557763
407	0.3471053788
408	0.3467552844
409	0.3465718636
410	0.3462848179
411	0.3459963452
412	0.3456458944
413	0.345454409
414	0.3451782318
415	0.3449327302
416	0.3446249134
417	0.3442050973
418	0.3439268549
419	0.3436353767
420	0.3434218801
421	0.3431218523
422	0.3428736056
423	0.3425727351
424	0.342304897
425	0.3419851274
426	0.3416748844
427	0.3413728053
428	0.3411431221
429	0.3408287458
430	0.3406577369
431	0.3403747714
432	0.340137374
433	0.3398107661
434	0.3394422594
435	0.3391391351
436	0.338807539
437	0.3386410304
438	0.3384107926
439	0.3381772125
440	0.3379962589
441	0.3379005517
442	0.3371781793
443	0.336900306
444	0.3365858776
445	0.3363451577
446	0.3360854289
447	0.3358026636
448	0.3355772863
449	0.3354233679
450	0.3351128503
451	0.3347940549
452	0.3344684847
453	0.3341414967
454	0.3339716282
455	0.3336358645
